name ,quantity ,price for quantity + delivery,link 
DS3235 - 180 Servo ,18, 246.78$,https://aliexpress.ru/item/1005007575629790.html?spm=a2g2w.cart.cart_split.8.71344aa6tjWOhN&sku_id=12000041358164109
servo horn ,2,11.13$,https://aliexpress.ru/item/1005003027854823.html?sku_id=12000023318820499&spm=a2g2w.productlist.search_results.0.5f513391mlimBv
3S Lipo battery 6000mAh ,1,45.34$,https://aliexpress.ru/item/1005008702710375.html?spm=a2g2w.cart.cart_split.8.58ae4aa6kAIzSH&sku_id=12000046311555698
300W 20A dc-dc step down buck converter,2,9.14,https://aliexpress.ru/item/1005004894829745.html?spm=a2g2w.cart.cart_split.6.58ae4aa6kAIzSH&sku_id=12000030927228556
Esp32-s3-Wroom-1 module ,1,3.06$,https://aliexpress.ru/item/1005010605134917.html?sku_id=12000052954553787&spm=a2g2w.productlist.search_results.9.2703315aRZC2fx
Usb-c 16 pin 0.8mm ,1,1.39$,https://aliexpress.ru/item/1005007748645481.html?spm=a2g2w.cart.cart_split.6.43d14aa6TOrhhN&sku_id=12000042099025955
BNO055 IMU,1,7.23$,https://aliexpress.ru/item/1005008153313742.html?sku_id=12000044013847289&spm=a2g2w.productlist.search_results.0.1fa93ac1NB3tlY
lm2596 step down buck converter ,1,0.77$,https://aliexpress.ru/item/1005003780274326.html?sku_id=12000027142887130&spm=a2g2w.productlist.search_results.0.24063546xjrpMq
Pca9685 ,1,4.36$,https://aliexpress.ru/item/1005008013388973.html?sku_id=12000043251084556&spm=a2g2w.productlist.search_results.7.68d07f99uGG471
diode s34 SMA,1,1.5$,https://aliexpress.ru/item/1005011924308998.html?sku_id=12000057043294917&spm=a2g2w.productlist.search_results.0.56f71c95WTmhIk
LED lights,1,0.89$,https://aliexpress.ru/item/1005003483934428.html?sku_id=12000025994266348&spm=a2g2w.productlist.search_results.1.541c68f1FIqzE9
INA226 ,1,1.39$,https://aliexpress.ru/item/1005010486173276.html?sku_id=12000052565428459&spm=a2g2w.productlist.search_results.5.64c23715PoOy9O
16V2200uF Capacitor ,1,1.1$,https://aliexpress.ru/item/1005005698363806.html?sku_id=12000034044860759&spm=a2g2w.productlist.search_results.0.20caa781s39Yiv
16V100uF Capacitor,1,1.27$,https://aliexpress.ru/item/1005005698363806.html?sku_id=12000034044860751&spm=a2g2w.productlist.search_results.0.20caa781s39Yiv
0805 smd 100nF Capacitor ,1,1.05$,https://aliexpress.ru/item/33010719216.html?sku_id=67141324253&spm=a2g2w.productlist.search_results.13.125d25385fzZLq
0805 smd 10uF Capacitor ,1,1.19$,https://aliexpress.ru/item/33010719216.html?sku_id=67141324254&spm=a2g2w.productlist.search_results.13.125d25385fzZLq
Screw terminal 2.54mm 3PIN,1,2.78$,https://aliexpress.ru/item/1005007455322674.html?sku_id=12000040827977848&spm=a2g2w.productlist.search_results.1.5aa57988xDdyIp
Screw terminal 5mm 2PIN ,1,2.25$,https://aliexpress.ru/item/1005007455322674.html?sku_id=12000040827977861&spm=a2g2w.productlist.search_results.1.5aa57988xDdyIp
male pin headers 1x40 ,1,2.10$,https://aliexpress.ru/item/1005007067304088.html?sku_id=12000039296567404&spm=a2g2w.productlist.search_results.3.122443ccDNvJ5Z
0805 resistor 1k smd ,1,1.07$,https://aliexpress.ru/item/1005011924238866.html?sku_id=12000057033019725&spm=a2g2w.productlist.search_results.0.731657aexOSeak
0805 resistor 5.1k smd,1,1.07$,https://aliexpress.ru/item/1005011924238866.html?sku_id=12000057033019742&spm=a2g2w.productlist.search_results.0.731657aexOSeak
0805 resistor 10k smd ,1,1.07$,https://aliexpress.ru/item/1005011924238866.html?sku_id=12000057033019749&spm=a2g2w.productlist.search_results.0.731657aexOSeak
0805 resistor 47k smd ,1,1.07$,https://aliexpress.ru/item/1005011924238866.html?sku_id=12000057033019765&spm=a2g2w.productlist.search_results.0.731657aexOSeak
R-Shunt 2512 3W-0.002 2mR,1,3.22$,https://aliexpress.ru/item/1005012015238252.html?sku_id=12000057293682538&spm=a2g2w.productlist.search_results.0.5b37785f3HUTUW
SMD 2Pin 3X4MM Tactile Tact Push Button Micro Switch,1,1.5$,https://aliexpress.ru/item/32752118872.html?sku_id=61896432967&spm=a2g2w.productlist.search_results.14.24be281bLrd8A3
ams1117 3.3v,1,0.63$,https://aliexpress.ru/item/1005008229056966.html?sku_id=12000048372042089&spm=a2g2w.productlist.search_results.2.75151521lPOlin
USBLC6-2SC6 SOT23-6,1,1.21$,https://aliexpress.ru/item/1005009468432448.html?sku_id=12000049196393604&spm=a2g2w.productlist.search_results.1.4ec144e4mAbaAm
3D Printer Filament PETG 1.75mm 1kg/2.2lbs Plastic Filament Consumables PETG Material for 3D Printer,1,19.87$,https://aliexpress.ru/item/2042369676.html?spm=a2g2w.cart.cart_split.41.6dd24aa6kUunPk&sku_id=12000015581361162
total price ,368$ + 16% VAT + delivery ,426.35$ for components ,
